2026/08/13 07:37:55 "level"=0 "msg"="published track" "name"="osl-real-speech-speaker-04" "source"="MICROPHONE" "trackID"="TR_AMKgre5zT3vif7"
2026/08/13 07:37:55 "level"=0 "msg"="track subscribed" "participant"="speaker-00" "track"="TR_AMYa7gwKhKoi4z" "kind"="audio"
2026/08/13 07:37:55 "level"=0 "msg"="track subscribed" "participant"="speaker-02" "track"="TR_AM8kmHBU8mN7Mg" "kind"="audio"
2026/08/13 07:37:55 "level"=0 "msg"="track subscribed" "participant"="speaker-05" "track"="TR_AMjqENLB2xrdYL" "kind"="audio"
2026/08/13 07:37:56 "level"=0 "msg"="track subscribed" "participant"="speaker-01" "track"="TR_AMwpWPHn5hztQZ" "kind"="audio"
2026/08/13 07:37:56 "level"=0 "msg"="track subscribed" "participant"="speaker-06" "track"="TR_AM6qqiqSEeWJzf" "kind"="audio"
2026/08/13 07:37:56 "level"=0 "msg"="track subscribed" "participant"="speaker-08" "track"="TR_AMSYM9NVCAboP8" "kind"="audio"
2026/08/13 07:37:56 "level"=0 "msg"="track subscribed" "participant"="speaker-07" "track"="TR_AMFj9hderS2Nfu" "kind"="audio"
2026/08/13 07:37:56 "level"=0 "msg"="track subscribed" "participant"="speaker-09" "track"="TR_AM9xzX3zysX8YX" "kind"="audio"
2026/08/13 07:37:56 "level"=0 "msg"="track subscribed" "participant"="speaker-03" "track"="TR_AM7deQRUStZ4sy" "kind"="audio"
